element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
2,116,2,11,True,2022-10-20T18:30:00Z,3,0,12,90,0,0,1,0,0,0,0,0,0,6,3,40,47.0,0.0,0.0,4.7,45,-5350,171874,2893,8243,9,Leno,1
21,112,3,2,False,2022-10-19T18:30:00Z,0,1,12,87,0,0,1,0,0,0,0,1,0,0,0,8,6.2,2.8,0.0,0.9,48,-37,5357,113,150,17,Maitland-Niles,3
29,116,9,0,False,2022-10-20T18:30:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-4308,424077,7719,12027,2,Coutinho,3
30,116,9,2,False,2022-10-20T18:30:00Z,3,0,12,68,0,0,0,2,0,0,0,0,0,0,0,5,11.4,11.1,89.0,11.2,67,-469,104260,3421,3890,2,Ings,4
31,116,9,2,False,2022-10-20T18:30:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,5,0,20,32.2,0.0,0.0,3.2,49,-11086,578200,9407,20493,2,Martínez,1
32,116,9,0,False,2022-10-20T18:30:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-173,18869,282,455,2,Chambers,2
33,116,9,0,False,2022-10-20T18:30:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-11673,129072,81,11754,2,Digne,2
34,116,9,0,False,2022-10-20T18:30:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-107,6301,0,107,2,Traoré,3
35,116,9,0,False,2022-10-20T18:30:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2790,160434,792,3582,2,Olsen,1
36,116,9,0,False,2022-10-20T18:30:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-744,26275,147,891,2,Sanson,3
37,116,9,2,False,2022-10-20T18:30:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,14,17.2,17.1,7.0,4.1,52,-1459,74606,692,2151,2,McGinn,3
38,116,9,0,False,2022-10-20T18:30:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-26,1208,0,26,2,Hause,2
39,116,9,-2,False,2022-10-20T18:30:00Z,3,0,12,90,0,0,0,3,1,0,0,1,0,0,0,2,11.8,0.3,2.0,1.4,44,-26379,477248,10713,37092,2,Mings,2
40,116,9,2,False,2022-10-20T18:30:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,5,8.0,13.5,64.0,8.6,72,3176,245548,17234,14058,2,Watkins,4
