element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,31,9,0,True,2022-08-27T16:30:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2988,18825,577,3565,1,Cédric,2
2,31,1,3,False,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,6,0,22,46.8,0.0,0.0,4.7,45,-5667,120315,2998,8665,9,Leno,1
3,31,9,2,True,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,25.0,12.0,4.5,50,42760,267951,77459,34699,1,Xhaka,3
4,31,9,2,True,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,15,4.2,3.8,0.0,0.8,44,-18950,115883,14683,33633,1,Elneny,3
5,31,9,1,True,2022-08-27T16:30:00Z,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,43,-1795,12198,363,2158,1,Holding,2
6,31,9,0,True,2022-08-27T16:30:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-8910,54948,3409,12319,1,Partey,3
7,31,9,10,True,2022-08-27T16:30:00Z,2,1,4,90,1,0,0,1,0,0,0,0,0,0,3,37,58.2,44.2,36.0,13.8,65,243746,1372230,295915,52169,1,Ødegaard,3
8,31,9,2,True,2022-08-27T16:30:00Z,2,1,4,60,0,0,0,1,0,0,0,0,0,0,0,11,11.6,15.8,8.0,3.5,49,-14113,85062,2409,16522,1,Tierney,2
9,31,9,0,True,2022-08-27T16:30:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-6427,22655,889,7316,1,Pépé,3
10,31,9,1,True,2022-08-27T16:30:00Z,2,1,4,90,0,0,0,1,0,0,0,1,0,0,0,10,11.8,3.8,4.0,2.0,45,-11093,534553,31566,42659,1,White,2
